StudentID,grades,sex
41,25,F
67,21,F
60,24,F
48,35,F
27,22,F
61,14,F
51,38,F
49,44,F
53,30,F
52,60,F
80,22,M
65,50,M
31,25,M
29,23,M
25,60,M
46,39,M
45,30,M
34,31,M
36,83,M
37,60,M
43,37,M
44,39,M
28,35,M
30,47,M
32,44,M
33,71,M
35,60,M
62,61,M
63,30,M
68,46,M
47,74,M
50,72,M
54,63,M
55,60,M
58,33,M
59,62,M
79,69,M
40,30,M
77,60,M
70,62,M
72,63,M
73,34,M
74,52,M
76,36,M
69,34,M
78,12,M
66,8,M
71,0,M
64,21,M
57,45,M
75,23,M
42,24,M
26,100,M
39,32,M
38,10,M
56,18,M
