StudentID,grades,sex
756,7,F
768,0,F
735,21,F
737,24,F
757,7,F
513,13,F
491,41,F
774,15,F
86,23,F
762,60,F
503,0,F
758,73,F
471,64,F
775,8,M
778,35,M
496,27,M
744,20,M
743,41,M
745,14,M
750,15,M
751,47,M
772,8,M
770,28,M
761,17,M
736,62,M
730,0,M
740,35,M
767,6,M
747,33,M
739,9,M
494,56,M
488,55,M
763,0,M
746,17,M
754,1,M
749,76,M
748,9,M
734,7,M
769,20,M
771,0,M
691,0,M
760,13,M
777,0,M
773,30,M
753,60,M
776,82,M
732,60,M
113,45,M
764,61,M
752,0,M
733,0,M
738,66,M
731,80,M
741,11,M
507,60,M
766,44,M
742,0,M
755,60,M
759,60,M
765,88,M
