StudentID,grades,sex
190,63,F
171,9,F
175,38,F
209,60,F
197,13,F
196,31,F
155,2,F
195,60,F
182,60,F
178,31,F
172,25,F
202,60,F
176,0,F
173,38,M
161,68,M
210,60,M
183,41,M
135,29,M
188,66,M
192,0,M
163,4,M
169,40,M
142,60,M
151,7,M
130,63,M
136,68,M
132,67,M
129,40,M
150,17,M
194,60,M
164,60,M
134,5,M
158,51,M
166,39,M
167,15,M
189,0,M
191,54,M
203,6,M
179,46,M
211,32,M
201,12,M
184,29,M
160,54,M
154,60,M
198,13,M
156,61,M
144,7,M
149,53,M
148,60,M
193,0,M
153,8,M
152,47,M
185,54,M
147,60,M
187,53,M
146,0,M
186,60,M
145,5,M
140,60,M
139,35,M
180,63,M
143,61,M
141,69,M
133,61,M
174,50,M
138,1,M
177,62,M
137,30,M
200,61,M
170,67,M
131,55,M
128,4,M
208,73,M
165,60,M
204,65,M
162,6,M
205,36,M
168,60,M
206,32,M
207,60,M
157,65,M
199,11,M
159,12,M
181,0,M
