StudentID,grades,sex
883,3,F
17,33,F
7,47,F
884,60,F
877,60,F
882,66,F
9,78,F
886,78,M
874,0,M
866,60,M
19,61,M
10,40,M
13,35,M
879,61,M
887,60,M
873,9,M
2,45,M
22,51,M
876,78,M
16,36,M
881,10,M
15,0,M
21,0,M
4,45,M
861,1,M
24,53,M
18,42,M
5,67,M
1,60,M
14,68,M
3,46,M
878,61,M
863,86,M
862,81,M
0,42,M
888,84,M
880,80,M
885,65,M
872,23,M
871,90,M
875,92,M
868,76,M
870,51,M
869,71,M
864,93,M
867,60,M
865,77,M
12,35,M
11,17,M
23,61,M
20,70,M
6,62,M
8,0,M
